IDEN;CLASS;AGE;SEX;SURV
P0001;1;1;1;1
P0002;1;1;1;1
P0003;1;1;1;1
P0004;1;1;1;1
P0005;1;1;1;1
P0006;1;1;1;1
P0007;1;1;1;1
P0008;1;1;1;1
P0009;1;1;1;1
P0010;1;1;1;1
P0011;1;1;1;1
P0012;1;1;1;1
P0013;1;1;1;1
P0014;1;1;1;1
P0015;1;1;1;1
P0016;1;1;1;1
P0017;1;1;1;1
P0018;1;1;1;1
P0019;1;1;1;1
P0020;1;1;1;1
P0021;1;1;1;1
P0022;1;1;1;1
P0023;1;1;1;1
P0024;1;1;1;1
P0025;1;1;1;1
P0026;1;1;1;1
P0027;1;1;1;1
P0028;1;1;1;1
P0029;1;1;1;1
P0030;1;1;1;1
P0031;1;1;1;1
P0032;1;1;1;1
P0033;1;1;1;1
P0034;1;1;1;1
P0035;1;1;1;1
P0036;1;1;1;1
P0037;1;1;1;1
P0038;1;1;1;1
P0039;1;1;1;1
P0040;1;1;1;1
P0041;1;1;1;1
P0042;1;1;1;1
P0043;1;1;1;1
P0044;1;1;1;1
P0045;1;1;1;1
P0046;1;1;1;1
P0047;1;1;1;1
P0048;1;1;1;1
P0049;1;1;1;1
P0050;1;1;1;1
P0051;1;1;1;1
P0052;1;1;1;1
P0053;1;1;1;1
P0054;1;1;1;1
P0055;1;1;1;1
P0056;1;1;1;1
P0057;1;1;1;1
P0058;1;1;1;0
P0059;1;1;1;0
P0060;1;1;1;0
P0061;1;1;1;0
P0062;1;1;1;0
P0063;1;1;1;0
P0064;1;1;1;0
P0065;1;1;1;0
P0066;1;1;1;0
P0067;1;1;1;0
P0068;1;1;1;0
P0069;1;1;1;0
P0070;1;1;1;0
P0071;1;1;1;0
P0072;1;1;1;0
P0073;1;1;1;0
P0074;1;1;1;0
P0075;1;1;1;0
P0076;1;1;1;0
P0077;1;1;1;0
P0078;1;1;1;0
P0079;1;1;1;0
P0080;1;1;1;0
P0081;1;1;1;0
P0082;1;1;1;0
P0083;1;1;1;0
P0084;1;1;1;0
P0085;1;1;1;0
P0086;1;1;1;0
P0087;1;1;1;0
P0088;1;1;1;0
P0089;1;1;1;0
P0090;1;1;1;0
P0091;1;1;1;0
P0092;1;1;1;0
P0093;1;1;1;0
P0094;1;1;1;0
P0095;1;1;1;0
P0096;1;1;1;0
P0097;1;1;1;0
P0098;1;1;1;0
P0099;1;1;1;0
P0100;1;1;1;0
P0101;1;1;1;0
P0102;1;1;1;0
P0103;1;1;1;0
P0104;1;1;1;0
P0105;1;1;1;0
P0106;1;1;1;0
P0107;1;1;1;0
P0108;1;1;1;0
P0109;1;1;1;0
P0110;1;1;1;0
P0111;1;1;1;0
P0112;1;1;1;0
P0113;1;1;1;0
P0114;1;1;1;0
P0115;1;1;1;0
P0116;1;1;1;0
P0117;1;1;1;0
P0118;1;1;1;0
P0119;1;1;1;0
P0120;1;1;1;0
P0121;1;1;1;0
P0122;1;1;1;0
P0123;1;1;1;0
P0124;1;1;1;0
P0125;1;1;1;0
P0126;1;1;1;0
P0127;1;1;1;0
P0128;1;1;1;0
P0129;1;1;1;0
P0130;1;1;1;0
P0131;1;1;1;0
P0132;1;1;1;0
P0133;1;1;1;0
P0134;1;1;1;0
P0135;1;1;1;0
P0136;1;1;1;0
P0137;1;1;1;0
P0138;1;1;1;0
P0139;1;1;1;0
P0140;1;1;1;0
P0141;1;1;1;0
P0142;1;1;1;0
P0143;1;1;1;0
P0144;1;1;1;0
P0145;1;1;1;0
P0146;1;1;1;0
P0147;1;1;1;0
P0148;1;1;1;0
P0149;1;1;1;0
P0150;1;1;1;0
P0151;1;1;1;0
P0152;1;1;1;0
P0153;1;1;1;0
P0154;1;1;1;0
P0155;1;1;1;0
P0156;1;1;1;0
P0157;1;1;1;0
P0158;1;1;1;0
P0159;1;1;1;0
P0160;1;1;1;0
P0161;1;1;1;0
P0162;1;1;1;0
P0163;1;1;1;0
P0164;1;1;1;0
P0165;1;1;1;0
P0166;1;1;1;0
P0167;1;1;1;0
P0168;1;1;1;0
P0169;1;1;1;0
P0170;1;1;1;0
P0171;1;1;1;0
P0172;1;1;1;0
P0173;1;1;1;0
P0174;1;1;1;0
P0175;1;1;1;0
P0176;1;1;0;1
P0177;1;1;0;1
P0178;1;1;0;1
P0179;1;1;0;1
P0180;1;1;0;1
P0181;1;1;0;1
P0182;1;1;0;1
P0183;1;1;0;1
P0184;1;1;0;1
P0185;1;1;0;1
P0186;1;1;0;1
P0187;1;1;0;1
P0188;1;1;0;1
P0189;1;1;0;1
P0190;1;1;0;1
P0191;1;1;0;1
P0192;1;1;0;1
P0193;1;1;0;1
P0194;1;1;0;1
P0195;1;1;0;1
P0196;1;1;0;1
P0197;1;1;0;1
P0198;1;1;0;1
P0199;1;1;0;1
P0200;1;1;0;1
P0201;1;1;0;1
P0202;1;1;0;1
P0203;1;1;0;1
P0204;1;1;0;1
P0205;1;1;0;1
P0206;1;1;0;1
P0207;1;1;0;1
P0208;1;1;0;1
P0209;1;1;0;1
P0210;1;1;0;1
P0211;1;1;0;1
P0212;1;1;0;1
P0213;1;1;0;1
P0214;1;1;0;1
P0215;1;1;0;1
P0216;1;1;0;1
P0217;1;1;0;1
P0218;1;1;0;1
P0219;1;1;0;1
P0220;1;1;0;1
P0221;1;1;0;1
P0222;1;1;0;1
P0223;1;1;0;1
P0224;1;1;0;1
P0225;1;1;0;1
P0226;1;1;0;1
P0227;1;1;0;1
P0228;1;1;0;1
P0229;1;1;0;1
P0230;1;1;0;1
P0231;1;1;0;1
P0232;1;1;0;1
P0233;1;1;0;1
P0234;1;1;0;1
P0235;1;1;0;1
P0236;1;1;0;1
P0237;1;1;0;1
P0238;1;1;0;1
P0239;1;1;0;1
P0240;1;1;0;1
P0241;1;1;0;1
P0242;1;1;0;1
P0243;1;1;0;1
P0244;1;1;0;1
P0245;1;1;0;1
P0246;1;1;0;1
P0247;1;1;0;1
P0248;1;1;0;1
P0249;1;1;0;1
P0250;1;1;0;1
P0251;1;1;0;1
P0252;1;1;0;1
P0253;1;1;0;1
P0254;1;1;0;1
P0255;1;1;0;1
P0256;1;1;0;1
P0257;1;1;0;1
P0258;1;1;0;1
P0259;1;1;0;1
P0260;1;1;0;1
P0261;1;1;0;1
P0262;1;1;0;1
P0263;1;1;0;1
P0264;1;1;0;1
P0265;1;1;0;1
P0266;1;1;0;1
P0267;1;1;0;1
P0268;1;1;0;1
P0269;1;1;0;1
P0270;1;1;0;1
P0271;1;1;0;1
P0272;1;1;0;1
P0273;1;1;0;1
P0274;1;1;0;1
P0275;1;1;0;1
P0276;1;1;0;1
P0277;1;1;0;1
P0278;1;1;0;1
P0279;1;1;0;1
P0280;1;1;0;1
P0281;1;1;0;1
P0282;1;1;0;1
P0283;1;1;0;1
P0284;1;1;0;1
P0285;1;1;0;1
P0286;1;1;0;1
P0287;1;1;0;1
P0288;1;1;0;1
P0289;1;1;0;1
P0290;1;1;0;1
P0291;1;1;0;1
P0292;1;1;0;1
P0293;1;1;0;1
P0294;1;1;0;1
P0295;1;1;0;1
P0296;1;1;0;1
P0297;1;1;0;1
P0298;1;1;0;1
P0299;1;1;0;1
P0300;1;1;0;1
P0301;1;1;0;1
P0302;1;1;0;1
P0303;1;1;0;1
P0304;1;1;0;1
P0305;1;1;0;1
P0306;1;1;0;1
P0307;1;1;0;1
P0308;1;1;0;1
P0309;1;1;0;1
P0310;1;1;0;1
P0311;1;1;0;1
P0312;1;1;0;1
P0313;1;1;0;1
P0314;1;1;0;1
P0315;1;1;0;1
P0316;1;1;0;0
P0317;1;1;0;0
P0318;1;1;0;0
P0319;1;1;0;0
P0320;1;0;1;1
P0321;1;0;1;1
P0322;1;0;1;1
P0323;1;0;1;1
P0324;1;0;1;1
P0325;1;0;0;1
P0326;2;1;1;1
P0327;2;1;1;1
P0328;2;1;1;1
P0329;2;1;1;1
P0330;2;1;1;1
P0331;2;1;1;1
P0332;2;1;1;1
P0333;2;1;1;1
P0334;2;1;1;1
P0335;2;1;1;1
P0336;2;1;1;1
P0337;2;1;1;1
P0338;2;1;1;1
P0339;2;1;1;1
P0340;2;1;1;0
P0341;2;1;1;0
P0342;2;1;1;0
P0343;2;1;1;0
P0344;2;1;1;0
P0345;2;1;1;0
P0346;2;1;1;0
P0347;2;1;1;0
P0348;2;1;1;0
P0349;2;1;1;0
P0350;2;1;1;0
P0351;2;1;1;0
P0352;2;1;1;0
P0353;2;1;1;0
P0354;2;1;1;0
P0355;2;1;1;0
P0356;2;1;1;0
P0357;2;1;1;0
P0358;2;1;1;0
P0359;2;1;1;0
P0360;2;1;1;0
P0361;2;1;1;0
P0362;2;1;1;0
P0363;2;1;1;0
P0364;2;1;1;0
P0365;2;1;1;0
P0366;2;1;1;0
P0367;2;1;1;0
P0368;2;1;1;0
P0369;2;1;1;0
P0370;2;1;1;0
P0371;2;1;1;0
P0372;2;1;1;0
P0373;2;1;1;0
P0374;2;1;1;0
P0375;2;1;1;0
P0376;2;1;1;0
P0377;2;1;1;0
P0378;2;1;1;0
P0379;2;1;1;0
P0380;2;1;1;0
P0381;2;1;1;0
P0382;2;1;1;0
P0383;2;1;1;0
P0384;2;1;1;0
P0385;2;1;1;0
P0386;2;1;1;0
P0387;2;1;1;0
P0388;2;1;1;0
P0389;2;1;1;0
P0390;2;1;1;0
P0391;2;1;1;0
P0392;2;1;1;0
P0393;2;1;1;0
P0394;2;1;1;0
P0395;2;1;1;0
P0396;2;1;1;0
P0397;2;1;1;0
P0398;2;1;1;0
P0399;2;1;1;0
P0400;2;1;1;0
P0401;2;1;1;0
P0402;2;1;1;0
P0403;2;1;1;0
P0404;2;1;1;0
P0405;2;1;1;0
P0406;2;1;1;0
P0407;2;1;1;0
P0408;2;1;1;0
P0409;2;1;1;0
P0410;2;1;1;0
P0411;2;1;1;0
P0412;2;1;1;0
P0413;2;1;1;0
P0414;2;1;1;0
P0415;2;1;1;0
P0416;2;1;1;0
P0417;2;1;1;0
P0418;2;1;1;0
P0419;2;1;1;0
P0420;2;1;1;0
P0421;2;1;1;0
P0422;2;1;1;0
P0423;2;1;1;0
P0424;2;1;1;0
P0425;2;1;1;0
P0426;2;1;1;0
P0427;2;1;1;0
P0428;2;1;1;0
P0429;2;1;1;0
P0430;2;1;1;0
P0431;2;1;1;0
P0432;2;1;1;0
P0433;2;1;1;0
P0434;2;1;1;0
P0435;2;1;1;0
P0436;2;1;1;0
P0437;2;1;1;0
P0438;2;1;1;0
P0439;2;1;1;0
P0440;2;1;1;0
P0441;2;1;1;0
P0442;2;1;1;0
P0443;2;1;1;0
P0444;2;1;1;0
P0445;2;1;1;0
P0446;2;1;1;0
P0447;2;1;1;0
P0448;2;1;1;0
P0449;2;1;1;0
P0450;2;1;1;0
P0451;2;1;1;0
P0452;2;1;1;0
P0453;2;1;1;0
P0454;2;1;1;0
P0455;2;1;1;0
P0456;2;1;1;0
P0457;2;1;1;0
P0458;2;1;1;0
P0459;2;1;1;0
P0460;2;1;1;0
P0461;2;1;1;0
P0462;2;1;1;0
P0463;2;1;1;0
P0464;2;1;1;0
P0465;2;1;1;0
P0466;2;1;1;0
P0467;2;1;1;0
P0468;2;1;1;0
P0469;2;1;1;0
P0470;2;1;1;0
P0471;2;1;1;0
P0472;2;1;1;0
P0473;2;1;1;0
P0474;2;1;1;0
P0475;2;1;1;0
P0476;2;1;1;0
P0477;2;1;1;0
P0478;2;1;1;0
P0479;2;1;1;0
P0480;2;1;1;0
P0481;2;1;1;0
P0482;2;1;1;0
P0483;2;1;1;0
P0484;2;1;1;0
P0485;2;1;1;0
P0486;2;1;1;0
P0487;2;1;1;0
P0488;2;1;1;0
P0489;2;1;1;0
P0490;2;1;1;0
P0491;2;1;1;0
